competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,Half Turn Count
Uppsalaligan1Coin2024,f,A,0,2,U2 F2 U2 F R2 U' R2 U' R2 U2 R2,8
LetsCubeLongBeach2025,1,C,1,2,U2 R' U2 R2 U2 R2 F R2 U2 R' U2,8
MilduraMadness2023,2,A,0,4,R2 U2 F U2 F R2 U2 R2 U2 R U2,8
NoPlaceForDNFSpring2019,1,A,0,1,U' R U2 R2 U2 R2 U' R2 U2 F2 R2,8
AutotaloAnimeAdventureVI2024,f,A,0,2,F2 U2 F R2 U2 R2 U2 R U2 R' U2,8
SPOpen2014,1,B,0,1,U2 R' F' U2 R2 U2 R2 U2 F R2 U2,8
YakimaValleyCubingSpring2019,1,A,0,5,U2 R' U2 R2 U' R2 F2 U2 R2 U' R2,8
DutchMasters2020,f,D,1,1,U2 R' F U2 R2 U2 R2 U2 F R2 U2,8
MagicRevenge2015,1,A,0,4,R U2 R2 F2 U' F2 U2 R2 U2 R2 U',8
VilniusOpen2022,f,A,1,2,U2 R' U2 R2 U2 R2 F U2 F U2 R2,8
IIIProjectWarszawa2019,1,D,1,1,R' U2 R2 U' R2 F2 U2 F U2 R2 U2,8
HongKongChampionship2025,1,G,0,5,U' R U2 R2 U2 F2 U' R2 U2 R2 U2,8
ToulonOpen2017,2,B,1,1,R' U2 F2 U2 R2 U' R2 U2 F U2 R2,8
CubeFactoryRogow2024,2,C,1,2,R2 U2 F R2 U2 R' U2 R' U2 R2 U2,8
DebicaCubingSummer2024,2,B,1,2,R U2 R2 F U2 R2 U2 R2 U2 F U2,8
200Peru2024,f,A,0,4,U2 F2 U2 R2 U2 R2 U' R U2 R' U2,8
ZoryOpen2026,1,C,1,1,R' U2 R2 U' R2 U2 F2 U' R2 U2 R2,8
BucharestCubingMayB2024,1,A,0,4,U' R' F U2 R2 U2 R2 U2 F2 U2 R2,8
CubingAbovetheDinosaurs2024,f,J,0,5,U2 R U2 R2 U' F U2 R2 U2 R2 U2,8
IcelandNationals2018,2,A,0,2,U2 R2 U2 R2 F U2 F U' R2 U2 R2,8
MidwestCubingClassic2025,f,J,1,2,U' R' F2 R2 U2 R2 U2 R2 U' R2 U2,8
SydneyOpen2019,1,C,0,4,U2 R' U2 F2 U2 R2 U2 R2 U' F U2,8
MerryCubing2015,1,B,0,2,U2 R' U2 R2 F2 U2 R2 U2 R' U2 R',8
SlovakianCubeDay2018,1,A,1,2,U2 R' F2 U2 R2 U2 R' U2 R2 U2 R',8
SEChamp2018,1,H,1,2,R U2 R2 F U2 R2 U2 R2 U2 F R2,8
ABHC2017,f,B,1,1,U2 R2 U2 R2 F U' F2 U2 R2 U2 R',8
BursaWinter2019,2,B,1,1,R2 F U2 F R2 U2 R2 U2 F R2 U2,8
PSKGPremiereCubing2025,1,B,0,1,R2 U' R2 F U2 F R2 U2 R2 U2 R2,8
Norrlandsmasterskapet2025,2,A,0,2,R' U2 F2 R2 U2 R2 U2 F R2 U' R2,8
BasauriOpen2025,f,A,0,5,U2 R U2 R2 U2 F2 R U2 R2 U2 R',8
MiniCampeonatoSantiago2014,f,A,0,5,U2 R2 U R2 U2 R2 F U2 F R2 U2,8
SydneySummer2023,1,G,1,2,R' U2 F U2 F R2 U2 R2 U2 R2 U2,8
UnicentroArmeniaII2024,1,B,0,5,U2 R2 U2 R2 U' R2 U2 R' U2 R' U2,8
RubiksWCAAfricanChampionship2024,2,A,1,2,U2 R' U2 R2 U2 R2 U2 F2 U2 R U',8
TbilisiMayOpen2024,f,A,1,1,R' F2 U2 R2 F' R2 F U2 R2 U2 R2,8
SiouxCitySunday2023,1,A,0,1,R2 U2 R2 U2 F R2 U' R2 U' R2 U2,8
SAC2022,1,A,0,4,R U2 R2 U2 R2 U2 R2 U' F R2 U2,8
TCGFallArequipa2022,1,A,0,5,U' R U2 R2 U2 R2 U2 R2 U' F2 R2,8
HonoluluHaulelau2024,1,A,1,2,R U2 R2 F R2 U2 R2 U2 F U2 R2,8
SofiaSpring2025,f,A,1,2,U2 R U2 R2 F2 U2 F R2 U' R2 U2,8
NovosibirskTechLibrary2019,f,A,1,1,R F' R2 U2 R U2 R' U2 R2 U2 R2,7
FLIPOpen2017,d,C,0,2,U2 R2 F' U2 R2 U2 R2 U' R U2 R',7
ChichesterApril2025,1,D,0,1,U2 R U2 R2 U F2 R U2 R U2 R2,7
FestivalCuberoBlind2019,1,A,0,1,U2 R2 U2 R' U2 R U' R2 U' R2 U2,7
StarCubingNijmegen2020,f,D,0,1,U2 R' F2 R2 U2 R2 U' F' U2 F' U2,7
YJSuankularbOpen2025,1,C,0,1,R' F' R2 F' R2 F R2 U2 R2 U2 R2,7
CyprusNationals2025,1,A,0,2,R' U2 R U2 R' F2 R2 U2 R2 F U2,7
NacionalesArgentinas2023,1,B,0,2,U2 R' U2 R2 U' F' U2 R2 F2 R2 U',7
JonseredOpen2026,2,A,0,5,U F U2 F' U2 R2 U' R2 U2 R2 U2,7
CorkOpen2019,2,A,1,1,U2 R2 U2 F U2 F U2 F U' R2 U2,7
KCKC5FastandFurious2024,f,B,0,5,R U2 R2 U2 F U2 R U2 R2 U' R2,7
FargoDome2023,2,A,1,2,R' F2 U2 R2 F' R2 F U2 R2 U' R2,7
