competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
MaltaEndofSummer2025,6.67,f,A,1,2,U2 R' F R2 U' R' U F R F R2,9, F' U2 F' R U R2 F2 U' F
ThapraCubeBattle2025,6.67,1,D,0,1,U2 R U' R2 U' F R' U R' U' R,9, F' R F R' F2 U2 F U R
ThapraCubeBattle2025,6.67,1,D,0,2,R' F R' F2 R U' R U' R2 U2 F,9, U2 R2 U' F' R2 F U' F U
ThapraCubeBattle2025,6.67,1,D,0,3,U' R U' R' U2 R2 U' F2 U' F R2,8, U R' F R' U F U2 F
ThapraCubeBattle2025,6.67,1,D,0,4,U' R F' R' U2 R' U' F R2 F' R',6, F' R2 U' R F' R'
ThapraCubeBattle2025,6.67,1,D,0,5,U' R' F2 U' R2 U R' F U' R2 U2,9, R2 U2 R' U F2 R' U' F2 U
ThapraCubeBattle2025,6.67,1,D,1,1,R' F R U R U' F' R2 U' R U,6, R U' F' U2 F R2
ThapraCubeBattle2025,6.67,1,D,1,2,R U' F R2 U' R' U2 R' U2 R U',6, R2 F U F2 U R
RenoSummer2025,6.67,1,C,0,1,R U2 F' U' R' U R F' R U' R',6, U F R' F2 U2 R'
RenoSummer2025,6.67,1,C,0,2,U2 R' U' R U2 F' R2 U2 R U R',9, R U' R F' U2 R U R U2
RenoSummer2025,6.67,1,C,0,3,R U2 R' U' R' U' R' F R U' R',6, U F' R' U F R
RenoSummer2025,6.67,1,C,0,4,F' U2 F U' R U2 R' F U' R2 U',10, F2 U' F U2 R F2 R U' F2 U
RenoSummer2025,6.67,1,C,0,5,R' F' U' R U' R U' R' U R' F',8, R' F R' U' F' R F2 U'
RenoSummer2025,6.67,1,C,1,1,R U R U2 R' U' R' U2 R U R,6, U R2 U R' U' R'
RenoSummer2025,6.67,1,C,1,2,R' F2 R U F' U2 R2 U' F R U2,8, R2 U R F R2 U' F2 U'
BlenkirWankaCube2024,6.67,f,A,0,1,R' U2 R U' R2 U' F2 U' R2 U R,9, R' U2 F2 U' F2 U' R U2 R
BlenkirWankaCube2024,6.67,f,A,0,2,R U' R' U R' U' R2 U R' F' U',6, F2 R' F' U2 R' U'
BlenkirWankaCube2024,6.67,f,A,0,3,R' F' U' R U' R2 U2 F U2 R2 U',7, U' F U' R' U F R
BlenkirWankaCube2024,6.67,f,A,0,4,U' R' F' R U' F U' F U' R2 U2,9, U F R' F R' U' F U2 F2
BlenkirWankaCube2024,6.67,f,A,0,5,R2 F R2 U' R2 U' F R' U2 R U,9, F' U R2 F' R' F R' U R2
BlenkirWankaCube2024,6.67,f,A,1,1,R U' F2 R U' R' U2 F R2 U2 R',7, F2 U' R U' R2 F R'
BlenkirWankaCube2024,6.67,f,A,1,2,U' R' U' F R' F U2 R U R' F',5, U' R F' U2 F'
