competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_slicecount,optimal_solution
AvenidaChileXIII2024,9.2,d,A,4,"(-2,0) / (-3,0) / (3,0) / (2,-1) / (-5,-2) / (-4,-4) / (1,0) / (0,-3) / (-1,0) / (4,0) / (2,0) / (-3,-2) / (-2,-1)",10,"(4,1)/(1,6)/(5,-2)/(3,-5)/(0,3)/(0,3)/(3,1)/(5,-4)/(0,3)/(-2,1)/(-4,-3)"
AvenidaChileXIII2024,9.2,d,A,5,"(0,-1) / (3,0) / (6,-3) / (4,-2) / (2,-4) / (0,-3) / (0,-5) / (0,-3) / (6,0) / (-3,0) / (-3,-5) / (0,-2) / (-5,-2)",10,"(5,-4)/(0,2)/(3,4)/(0,-2)/(2,-4)/(1,4)/(2,6)/(0,3)/(3,-1)/(-2,-5)/(-4,-3)"
PuebladeZaragozaOpen2024,9.2,d,B,1,"(4,3) / (2,-4) / (-3,0) / (3,0) / (6,-3) / (4,0) / (-3,0) / (5,0) / (-2,0) / (2,0) / (0,-2) / (-2,0) / (-1,0) / (0,-1)",11,"(1,-2)/(3,-1)/(2,0)/(1,4)/(3,2)/(2,2)/(0,4)/(1,0)/(0,3)/(3,1)/(5,2)/(3,1)"
PuebladeZaragozaOpen2024,9.2,d,B,2,"(0,5) / (-3,-3) / (-3,6) / (4,-2) / (-3,0) / (2,0) / (3,0) / (0,-4) / (-5,0) / (6,-4) / (0,-4) /",7,"(4,0)/(4,6)/(1,-4)/(3,2)/(0,-2)/(3,6)/(-3,6)/(-3,6)"
PuebladeZaragozaOpen2024,9.2,d,B,3,"(-5,0) / (-1,2) / (6,3) / (6,-3) / (4,-5) / (5,0) / (-3,0) / (0,-1) / (2,-3) / (1,0) / (-2,0) / (2,0)",9,"(0,-5)/(0,-5)/(0,5)/(3,-2)/(4,-5)/(2,0)/(5,6)/(0,-3)/(-2,3)/(-4,6)"
PuebladeZaragozaOpen2024,9.2,d,B,4,"(0,2) / (6,0) / (0,3) / (0,-3) / (-3,0) / (4,-2) / (0,-3) / (0,-1) / (3,-3) / (0,-3) / (4,-3) / (-4,0)",9,"(1,2)/(3,0)/(2,0)/(3,6)/(1,-2)/(5,2)/(4,-5)/(3,6)/(5,2)/(6,-5)"
PuebladeZaragozaOpen2024,9.2,d,B,5,"(-5,0) / (2,5) / (-2,4) / (-3,0) / (3,0) / (2,-4) / (4,0) / (3,0) / (2,0) / (0,-5) / (2,0) / (6,-3) / (0,-4)",10,"(0,-2)/(3,2)/(0,2)/(2,-2)/(3,-4)/(2,4)/(4,-1)/(3,6)/(3,5)/(3,-3)/(6,1)"
Kanonkuben2024,9.2,d,B,1,"(4,0) / (0,-3) / (0,3) / (-1,-4) / (1,-5) / (6,-1) / (0,-3) / (-1,0) / (-3,0) / (-2,0) / (-3,0) /",9,"(3,-3)/(0,3)/(0,3)/(5,3)/(3,-3)/(4,-5)/(2,5)/(3,0)/(1,-5)/(2,-3)"
Kanonkuben2024,9.2,d,B,2,"(0,-1) / (-2,1) / (0,3) / (-1,-4) / (-3,0) / (-3,-5) / (-3,0) / (-2,-3) / (-2,0) / (2,-4) / (-2,0) / (0,-4) /",10,"(1,-5)/(3,-3)/(2,2)/(0,1)/(3,2)/(4,-2)/(2,0)/(5,6)/(0,-3)/(3,-1)/(6,1)"
Kanonkuben2024,9.2,d,B,3,"(1,0) / (-4,2) / (-2,-5) / (5,-1) / (0,-3) / (3,0) / (-2,0) / (-3,-3) / (1,-4) / (6,-4) / (6,-2)",8,"(0,6)/(0,-2)/(2,-4)/(2,4)/(2,-3)/(3,3)/(3,5)/(4,-2)/(-4,0)"
