competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_slicecount,optimal_solution
DallasCubemas2019,8.67,f,A,1,2,"(-3,-1) / (1,-2) / (0,-3) / (-3,0) / (2,-4) / (3,0) / (-2,0) / (0,-3) / (0,-2) / (-3,0) / (5,0) / (6,-2) / (-1,-2)",10,"(3,4)/(0,-2)/(1,2)/(0,-2)/(4,-2)/(2,6)/(2,4)/(1,1)/(3,0)/(3,3)/(3,6)"
NacionalesGuatemala2018,8.67,d,C,0,1,"(-2,0) / (-3,0) / (2,-1) / (1,-2) / (-3,-3) / (3,0) / (5,0) / (-3,0) / (-2,0) / (0,-4) / (4,0) / (-5,0) / (-4,0) / (-4,0)",9,"/(4,-2)/(0,2)/(5,-2)/(4,-3)/(0,5)/(1,0)/(3,0)/(3,4)/(2,3)"
NacionalesGuatemala2018,8.67,d,C,0,2,"(-5,-3) / (5,2) / (0,-3) / (1,-5) / (-3,0) / (5,0) / (3,0) / (1,0) / (-2,-4) / (4,-5) / (5,-2)",10,"(1,-4)/(5,-4)/(2,4)/(0,-1)/(3,6)/(1,6)/(0,3)/(5,-1)/(0,3)/(-5,-2)/(5,3)"
NacionalesGuatemala2018,8.67,d,C,0,3,"(1,0) / (2,-1) / (-3,6) / (-3,0) / (3,0) / (-5,-2) / (5,0) / (3,0) / (1,-4) / (6,0) / (0,-4) / (-2,0) / (5,0)",8,"(1,-4)/(2,-4)/(4,-2)/(0,2)/(1,4)/(0,-4)/(3,0)/(0,-5)/(2,0)"
NacionalesGuatemala2018,8.67,d,C,0,4,"(3,5) / (-5,4) / (-1,-4) / (-2,-2) / (5,-3) / (3,0) / (1,-3) / (6,-1) / (3,0) / (4,-5) / (0,-2)",10,"(0,2)/(2,-1)/(0,-3)/(0,-5)/(5,-3)/(0,-3)/(1,-3)/(2,2)/(1,4)/(5,-4)/(-3,-5)"
NacionalesGuatemala2018,8.67,d,C,0,5,"(-5,0) / (-3,0) / (-3,3) / (-4,-4) / (6,-3) / (3,0) / (1,0) / (3,-3) / (-3,0) / (3,0) / (4,0) /",9,"(2,2)/(3,-5)/(3,0)/(4,3)/(0,-4)/(0,3)/(0,-2)/(2,-1)/(1,-2)/(-4,6)"
NacionalesGuatemala2018,8.67,d,C,1,1,"(1,-3) / (-4,2) / (-5,-2) / (-4,-3) / (0,-3) / (-2,-1) / (3,-4) / (-4,-3) / (0,-4)",8,"(0,4)/(4,3)/(3,-2)/(1,2)/(0,3)/(3,4)/(5,2)/(-2,4)/(5,-3)"
NacionalesGuatemala2018,8.67,d,C,1,2,"(0,-1) / (-3,0) / (-3,-3) / (4,-2) / (3,0) / (3,0) / (-1,0) / (-3,0) / (4,0) / (-1,0) / (0,-4) / (1,0) / (2,0) / (-3,-4)",11,"(1,-4)/(2,-2)/(1,-2)/(0,1)/(2,-4)/(3,2)/(1,0)/(0,3)/(2,0)/(4,-5)/(-4,2)/(0,4)"
LonayEuroQualifier2026,9.0,c,B,0,1,"(3,-4) / (0,3) / (-5,-2) / (-1,-4) / (3,0) / (6,-2) / (0,-3) / (0,-1) / (1,0) / (3,-4) / (0,-5) / (6,-4)",9,"(5,-2)/(0,4)/(1,6)/(2,-1)/(0,-3)/(3,-5)/(5,6)/(3,-5)/(6,-3)/(-4,-2)"
LonayEuroQualifier2026,9.0,c,B,0,2,"(4,3) / (0,3) / (0,-3) / (-1,-4) / (-2,-2) / (0,-3) / (-4,0) / (-3,-3) / (3,0) / (3,-5) / (6,0) / (0,-2)",9,"(2,-2)/(3,6)/(0,1)/(0,1)/(3,-1)/(3,3)/(4,3)/(5,-4)/(-2,-5)/(5,3)"
LonayEuroQualifier2026,9.0,c,B,0,3,"(-3,-1) / (4,4) / (6,-3) / (0,-3) / (-1,-1) / (0,-2) / (-3,-3) / (4,-1) / (4,-2) / (4,0) / (-4,0)",10,"(2,6)/(4,2)/(4,-4)/(1,-1)/(0,-3)/(3,6)/(3,-5)/(2,0)/(3,-3)/(6,-3)/(2,4)"
LonayEuroQualifier2026,9.0,c,B,0,4,"(0,-4) / (-3,-3) / (-2,-5) / (6,-3) / (0,-3) / (3,0) / (-1,0) / (3,0) / (1,0) / (0,-4) / (4,0) / (0,-2) / (2,0) / (-2,0)",11,"(2,-1)/(3,6)/(3,3)/(1,3)/(0,-2)/(2,4)/(0,-4)/(3,2)/(4,-2)/(0,5)/(3,6)/(-3,3)"
