competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
ReginaTwistNTreat2025,1,B,0,5,R U2 F R U' R U2 F' U2 R2 F,5, F R F2 U2 F'
NattandiyaCubingClash2025,1,B,1,2,R' F R U2 R' F2 R U R U' R',5, F2 R U2 R' F'
PUCPCubingFestivalVII2025,f,B,1,2,U2 R U' F' R2 F R2 F' R' U R,5, F2 U R2 U2 R'
GanOpen2025,2,B,1,1,U' R' U' R U R' F2 R2 U' F' U',5, F' R' U R' F
ApolloBayCubing2025,2,B,0,2,U R' F R2 U' F' U' R' U R' U2,5, F2 R U2 F U
IstanbulOctober2025,1,A,1,1,R' U2 F' R2 U' R' U' R' U' R2 U',5, F' R' F' U F2
KumaraguruCubeOpen2025,1,J,1,1,R' U' F' R U R U2 R' U' R' U,5, U' F U R F2
AndorranChampionship2025,1,B,0,1,U R U2 R' U R U' R' U' R' U2,5, R' U R' U R
StevenageOctober2025,1,B,0,5,U' R U2 R2 F U2 R2 U2 F' U2 R2,5, R2 U2 F2 R U
EnguasadosenNayarit2025,f,A,0,3,U' R' U' F R U R' U' F U R',5, R2 F R U2 F'
WuppertalWurfelWochenende2025,f,B,0,1,F R U' R' U F U2 R U R' U2,5, U F U' F2 U2
PuzzlingPuzzlesVantaa2025,2,B,0,2,R U2 R2 F R2 F' U2 R' U2 R' U2,5, R F R' F' U
NapervilleFall2025,f,A,0,1,U' R F R U R' U' F U2 R U,5, U F U2 F U'
WisconsinChampionship2025,2,B,0,2,U2 R' F U2 R2 U2 F' U2 R2 F R,5, R' F R' U2 F2
PreNacionalesLaPaz2025,1,D,0,5,R' U' R2 U' R' U' R' U' R2 U2 R',5, R' U' R U R2
GrandForks2025,1,B,1,1,R2 U2 R2 U' F' R' U R' F R U,5, R F2 U2 R2 F
ClockMinxOhio2025,1,C,1,2,R U2 R' U R U R' F U2 R U',5, R F R U' R
KedahCubeOpen2025,1,C,1,1,U R F R U R' U2 R U R' F',5, U2 R' F' U' F'
EnergyCubeBialoleka2025,f,A,0,1,U R' U' F' U' R U R' F2 R U,5, F R U2 F' U'
HungarianAllRounder102025,f,A,0,3,U' R U' F' R U' R2 U' F R U,5, F2 U R F' R'
HKRCU20thAnniversary2025,2,C,0,3,U' R' U2 F R2 U2 R2 F2 R U' R',5, U2 F' R' F U
CorbyAutumn2025,1,C,1,2,U2 R' F R2 U' F R' F R U R',5, U' R U2 R F2
CFLBrzeziny2025,1,D,0,2,U2 R' F' R U2 R' F R U R2 F,5, F' R F2 R U
CKTravancoreOpen2025,d,A,0,1,R F U R U R U' R' U' R' F,5, F' U' R F' R'
MaltaEndofSummer2025,f,B,1,1,R' F R U R' F' R' U' F U' R,5, R' U F2 U R2
ElTormesOpen2025,1,C,0,3,R U' R' U' R' F' R2 F' U2 R' U,5, U' F2 U' F R2
KushtiaCubeOpen2025,1,B,0,2,R F' R2 F U' R U2 R U R U',5, F2 U F' R' F2
KatanoSummer2025,d,A,0,5,U F' R2 F U' F U2 F U' F U',5, U R2 F' R F2
CornyCubersIowaClassic2025,1,C,0,2,U R' U' R U F' R U R' U' F,5, R U R F' U
IbagueMercacentroII2025,f,B,1,2,U2 F' U2 R' U R' U' F R U' R',5, F2 U' F U R2
