competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
FountainCity2023,15.0,1,B,1,2,UR3- DR4+ DL5- UL4+ U2- R1- D0+ L4+ ALL0+ y2 U0+ R1+ D3- L0+ ALL1+ DL UL,13,"UR(0,-2) UL(-3,3) U(4,-4) D(1,0) dl(-1,1) \(-2,1)"
OsloOpen2023,15.0,d,B,0,1,UR2- DR1+ DL1+ UL1- U0+ R5+ D5+ L2- ALL2+ y2 U2+ R6+ D3+ L6+ ALL5- UR DL,24,"UR(3,-1) DL(2,0) R(5,5) D(3,-2) ur(0,3) dr(-3,3) ul(1,1) \(4,3)"
OsloOpen2023,15.0,d,B,0,2,UR1- DR2- DL4- UL1- U1+ R4+ D1+ L2+ ALL2- y2 U5+ R2- D0+ L4+ ALL2- DR DL UL,12,"DL(2,2) UL(1,-1) R(-1,-1) D(3,2) ur(-3,3) dr(0,1) dl(0,-1)"
OsloOpen2023,15.0,d,B,0,3,UR2+ DR3+ DL6+ UL2- U5+ R0+ D2- L4+ ALL3+ y2 U5- R2- D4+ L5+ ALL5+ UR UL,22,"UR(-5,-2) DL(4,-3) D(1,-3) L(0,1) dr(-2,4) ul(-3,-2) /(-2,0)"
OsloOpen2023,15.0,d,B,0,4,UR2+ DR2- DL5- UL4- U0+ R2- D3+ L3+ ALL4+ y2 U0+ R4+ D4+ L4+ ALL1- DR,19,"DL(4,2) UL(2,1) R(2,3) L(0,1) dr(-2,3) dl(0,1) ALL(-5,0)"
OsloOpen2023,15.0,d,B,0,5,UR5- DR4- DL1- UL5- U3- R3- D4+ L4+ ALL5+ y2 U3+ R1- D3+ L1+ ALL1- UR DR,16,"UR(0,1) DL(1,0) UL(1,0) U(0,4) D(0,2) ur(0,1) dl(-2,-1) /(-4,-2)"
OsloOpen2023,15.0,d,B,1,1,UR1+ DR1+ DL3- UL2- U3- R2- D0+ L1+ ALL2+ y2 U2- R2+ D0+ L1- ALL1- DR UL,12,"UR(1,-1) DL(1,1) UL(3,0) R(-1,2) D(1,-1) ur(-1,-1) /(1,0) ALL(0,-2)"
OsloOpen2023,15.0,d,B,1,2,UR2- DR6+ DL2- UL3+ U1- R4- D4- L5+ ALL4- y2 U2- R2+ D2- L3+ ALL3- UR DR UL,17,"R(0,2) L(6,-5) ur(2,-2) dr(-1,-2) \(-4,4) ALL(0,1)"
MidAtlanticChampionship2023,15.0,2,B,0,1,UR2+ DR2+ DL1+ UL2- U4+ R4- D4- L3+ ALL5- y2 U5+ R4+ D6+ L6+ ALL4- UR DR DL UL,18,"UR(-1,-1) DR(1,-1) UL(-2,-1) U(-1,1) ur(0,1) dr(4,5) ul(0,4) \(2,-3)"
MidAtlanticChampionship2023,15.0,2,B,0,2,UR4- DR1- DL3+ UL4- U5+ R1- D3+ L1- ALL5- y2 U5+ R5+ D5- L4- ALL2+ UL,24,"UR(1,-1) DR(5,2) DL(2,0) U(2,-1) ur(0,-4) dl(3,-4) ul(1,-3) /(3,2)"
