competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,movecount_solution
VinaCubingFestVSC2025,8.0,f,A,1,2,UR0+ DR4+ DL4+ UL4+ U2- R4- D0+ L3- ALL0+ y2 U0+ R0+ D2+ L0+ ALL5-,7,DL4+ U2- L3+ /4+ y2 ul4+ D2- ALL1+
WesternChampionship2025,8.0,d,A,0,1,UR6+ DR2+ DL3+ UL3+ U1+ R4- D5+ L2- ALL6+ y2 U0+ R5- D1+ L0+ ALL5-,8,UR6- DR2+ UL4- y2 ul3- ur5- D1- R5+ \1+
WesternChampionship2025,8.0,d,A,0,2,UR1- DR0+ DL4- UL1+ U5+ R1- D5+ L3- ALL0+ y2 U3+ R2- D2- L0+ ALL3+,9,DL1- UL5- R2+ dl2+ y2 ul4+ dl4+ U3- DR2+ /3+
WesternChampionship2025,8.0,d,A,0,3,UR0+ DR3- DL4- UL1+ U1- R1- D4- L4- ALL4+ y2 U3+ R4- D1- L5+ ALL3+,8,DR4+ DL5- /1+ y2 ul2- R3+ U3- L5- DR1+
WesternChampionship2025,8.0,d,A,0,4,UR2- DR2- DL3+ UL4- U1+ R4- D1+ L2+ ALL5+ y2 U4+ R3- D5+ L3- ALL1-,10,UR3- DR1- DL1- U4- ul3- y2 L3+ DR5- UR4- /5+ ALL1-
WesternChampionship2025,8.0,d,A,0,5,UR6+ DR0+ DL2- UL0+ U4- R5- D1- L0+ ALL4- y2 U5- R0+ D1- L0+ ALL2-,8,UR1- U1- D3+ L2+ dl5- y2 D1+ U5+ /2+
WesternChampionship2025,8.0,d,A,1,1,UR0+ DR6+ DL2- UL0+ U3- R2- D2+ L2- ALL3- y2 U0+ R3- D1- L5+ ALL5+,9,DR4- UL4+ U1- D2- ur5- y2 L3- DL2- DR3+ \4-
WesternChampionship2025,8.0,d,A,1,2,UR3- DR6+ DL2- UL2+ U1+ R3- D5+ L4+ ALL2+ y2 U0+ R2- D5+ L5- ALL0+,8,D3+ L4- ul1- /2+ y2 ul4+ dr3+ DL5+ DR2+
EnergyCubeTomaszowMazowiecki2025,8.0,f,A,0,1,UR0+ DR4- DL4- UL4- U4+ R1+ D5+ L5+ ALL0+ y2 U5+ R2- D1+ L6+ ALL4+,8,DL3+ R3+ /3+ y2 R3+ U5- L6+ DR1- \5-
EnergyCubeTomaszowMazowiecki2025,8.0,f,A,0,2,UR5+ DR1- DL5- UL0+ U6+ R1- D0+ L1+ ALL3+ y2 U2+ R2- D2+ L5- ALL3-,10,DR3- U1+ D3- L4+ \5+ y2 U2- L3- DL4- DR2+ ALL1+
EnergyCubeTomaszowMazowiecki2025,8.0,f,A,0,3,UR5- DR2- DL0+ UL2- U5+ R2- D2+ L2+ ALL2- y2 U1+ R4+ D1+ L6+ ALL3-,9,UR2+ R5- dl3- ALL2- y2 R3- L5- DL1- UR1- \1+
EnergyCubeTomaszowMazowiecki2025,8.0,f,A,0,4,UR5+ DR3+ DL4- UL3+ U3- R3- D3- L2- ALL5- y2 U3- R0+ D1+ L2+ ALL3+,8,UR5- DL4+ L1- ALL1- y2 D1- U3+ L2- \3-
EnergyCubeTomaszowMazowiecki2025,8.0,f,A,0,5,UR3- DR2- DL5+ UL6+ U4+ R3- D5- L2+ ALL2- y2 U2+ R2+ D0+ L5+ ALL5-,8,UR6- DR2+ UL1- \3+ y2 ul2- dl5+ L5- UR2-
EnergyCubeTomaszowMazowiecki2025,8.0,f,A,1,1,UR4- DR4- DL4+ UL5+ U5- R4- D1+ L4+ ALL3- y2 U1- R5+ D5+ L1- ALL3-,8,DL1- U4+ ul3+ /5+ \5- y2 ul1- UL1+ DR5-
