competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_simulcount,simulcount_solution
NoveMestoOpen2026,5.67,d,A,3,UR5- DR6+ DL1+ UL0+ U1- R3- D5- L5+ ALL3+ y2 U0+ R2+ D4- L5+ ALL0+,6,"DR(-2,-1) UL(6,-2) R(4,-1) dr(-4,5) dl(3,3) \(4,-1)"
NoveMestoOpen2026,5.67,d,A,4,UR1- DR5- DL3- UL1- U5- R2- D4- L5- ALL5+ y2 U4- R1+ D3+ L1- ALL0+,6,"UR(-2,1) UL(-3,-2) R(-2,1) ur(3,-4) dr(-4,3) \(5,0)"
NoveMestoOpen2026,5.67,d,A,5,UR1+ DR3- DL1- UL5+ U0+ R4- D1- L0+ ALL1+ y2 U1- R5- D3- L2+ ALL6+,6,"UR(6,6) DL(-4,1) D(-3,-1) dr(6,2) dl(-2,-5) /(-1,-4)"
Wuppertal2026,5.67,f,A,1,UR5- DR4- DL5- UL3- U4+ R1- D4+ L5+ ALL6+ y2 U3- R0+ D6+ L4- ALL1-,6,"UR(4,-4) DR(6,1) D(-1,-3) L(3,2) dr(0,6) \(-1,-4)"
Wuppertal2026,5.67,f,A,2,UR5+ DR1- DL2+ UL6+ U2+ R0+ D3+ L5- ALL4+ y2 U0+ R6+ D5- L3+ ALL1+,5,"DR(-4,-1) U(-1,1) L(-3,3) dl(-3,6) /(-5,-4)"
Wuppertal2026,5.67,f,A,3,UR1+ DR0+ DL4- UL2- U2+ R2+ D5+ L1+ ALL4- y2 U5+ R5+ D0+ L3+ ALL4-,5,"UR(-1,-4) R(-2,5) D(-1,5) L(5,3) dr(-2,0)"
Wuppertal2026,5.67,f,A,4,UR1- DR2- DL6+ UL3- U5- R3- D5- L1+ ALL2+ y2 U4- R1+ D1+ L1+ ALL5+,6,"DL(-1,6) UL(-3,-5) R(6,1) D(2,-4) dr(2,1) /(4,5)"
Wuppertal2026,5.67,f,A,5,UR2- DR3+ DL3+ UL0+ U6+ R4+ D4+ L5- ALL3+ y2 U2+ R4+ D4- L3+ ALL0+,6,"UL(2,1) U(6,-4) R(-5,4) D(2,-1) ur(2,3) \(1,2)"
CubingatViviraB2026,5.67,d,A,1,UR1- DR6+ DL3+ UL4- U2+ R3- D5- L1+ ALL1- y2 U3- R0+ D4- L2+ ALL2-,6,"DR(-2,-4) UL(0,4) U(3,-4) D(-2,-5) ur(2,2) \(1,0)"
CubingatViviraB2026,5.67,d,A,2,UR4- DR3- DL4- UL1+ U3+ R5+ D5- L3+ ALL2- y2 U2- R2+ D2+ L3+ ALL2+,5,"R(2,5) ur(-1,-2) dr(-1,5) dl(0,-3) \(6,2)"
CubingatViviraB2026,5.67,d,A,3,UR2+ DR1+ DL5+ UL1- U0+ R3- D5- L3+ ALL0+ y2 U4+ R6+ D2- L3- ALL4+,7,"UR(-1,3) DR(-1,-1) R(2,-4) D(0,4) L(5,-3) dl(1,-2) ALL(4,0)"
CubingatViviraB2026,5.67,d,A,4,UR1+ DR3+ DL4+ UL1+ U2- R1+ D4- L5- ALL5- y2 U1- R4- D4- L6+ ALL1-,5,"DR(-5,3) D(2,5) ur(2,6) dl(-3,-4) /(-2,-2)"
CubingatViviraB2026,5.67,d,A,5,UR2+ DR4+ DL4- UL0+ U6+ R6+ D5- L1- ALL2+ y2 U5+ R4+ D6+ L1- ALL5-,6,"UR(4,-5) DL(5,2) R(-4,4) ur(-3,5) dr(2,6) /(-2,-3)"
RubisianSpringCubingIasi2026,5.67,f,A,1,UR3+ DR4+ DL4+ UL3- U1- R5+ D1- L2- ALL2- y2 U5- R2- D5- L3- ALL2-,5,"UL(1,3) D(5,-5) dr(0,-3) dl(1,-2) /(-2,2)"
RubisianSpringCubingIasi2026,5.67,f,A,2,UR3+ DR4+ DL3- UL4- U3+ R5- D0+ L1- ALL1+ y2 U2- R4+ D1+ L1+ ALL3+,6,"UR(-2,-5) DL(-4,3) D(3,6) dr(0,1) ul(5,4) /(0,-2)"
RubisianSpringCubingIasi2026,5.67,f,A,3,UR1+ DR6+ DL3+ UL6+ U1- R3+ D3+ L2+ ALL1+ y2 U3- R4- D5+ L2- ALL3+,6,"UR(3,-1) U(3,5) R(-1,-4) D(0,-3) L(1,-2) /(6,4)"
RubisianSpringCubingIasi2026,5.67,f,A,4,UR4+ DR5+ DL1- UL1+ U5- R3+ D4+ L6+ ALL3- y2 U3+ R5- D3- L6+ ALL3-,5,"D(4,-3) L(6,-2) dr(-5,-4) dl(4,1) ul(1,6)"
