competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
EyesOpenOpenOtautahi2025,8.33,1,B,1,UR0+ DR5- DL2+ UL1+ U6+ R1- D5- L4- ALL3- y2 U0+ R2- D4+ L5- ALL4-,8,U5+ R6- D4- L1+ /1+ y2 L1- DL6+ DR2+
EyesOpenOpenOtautahi2025,8.33,1,B,2,UR5- DR1- DL3- UL0+ U5+ R3+ D1- L2+ ALL4+ y2 U1+ R0+ D5+ L6+ ALL4+,8,DR4+ DL1+ R1- dl4- ul4- y2 ul2+ UL1- DL5-
EyesOpenOpenOtautahi2025,8.33,1,B,3,UR2- DR0+ DL4+ UL3- U5- R5+ D1+ L0+ ALL0+ y2 U1+ R5+ D0+ L0+ ALL5+,9,DR3- DL1- U2- D1- /3- \2- y2 ul5- R5- U1-
EyesOpenOpenOtautahi2025,8.33,1,B,4,UR4- DR0+ DL3+ UL0+ U4+ R2+ D3- L4+ ALL0+ y2 U5- R2- D0+ L4+ ALL1-,7,R2+ L5+ ALL1- y2 ul3- R2+ U3- UL4-
EyesOpenOpenOtautahi2025,8.33,1,B,5,UR5+ DR0+ DL5- UL5- U5+ R5+ D0+ L1- ALL5- y2 U2+ R1- D6+ L3- ALL2-,9,UR5- DL5+ R5- L6- y2 D3+ R3+ DL3+ UR2- \3+
WesternChampionship2025,8.33,d,A,1,UR6+ DR2+ DL3+ UL3+ U1+ R4- D5+ L2- ALL6+ y2 U0+ R5- D1+ L0+ ALL5-,8,UR6- DR2+ UL4- y2 ul3- ur5- D1- R5+ \1+
WesternChampionship2025,8.33,d,A,2,UR1- DR0+ DL4- UL1+ U5+ R1- D5+ L3- ALL0+ y2 U3+ R2- D2- L0+ ALL3+,9,DL1- UL5- R2+ dl2+ y2 ul4+ dl4+ U3- DR2+ /3+
WesternChampionship2025,8.33,d,A,3,UR0+ DR3- DL4- UL1+ U1- R1- D4- L4- ALL4+ y2 U3+ R4- D1- L5+ ALL3+,8,DR4+ DL5- /1+ y2 ul2- R3+ U3- L5- DR1+
WesternChampionship2025,8.33,d,A,4,UR2- DR2- DL3+ UL4- U1+ R4- D1+ L2+ ALL5+ y2 U4+ R3- D5+ L3- ALL1-,10,UR3- DR1- DL1- U4- ul3- y2 L3+ DR5- UR4- /5+ ALL1-
WesternChampionship2025,8.33,d,A,5,UR6+ DR0+ DL2- UL0+ U4- R5- D1- L0+ ALL4- y2 U5- R0+ D1- L0+ ALL2-,8,UR1- U1- D3+ L2+ dl5- y2 D1+ U5+ /2+
BurleySummer2025,8.33,d,B,1,UR1- DR3- DL2- UL1- U4- R1- D5+ L5+ ALL4- y2 U4- R5- D2+ L1- ALL0+,9,UR5+ UL2- U3+ y2 R5- L3- UL4+ DR2- \3+ ALL1-
BurleySummer2025,8.33,d,B,2,UR0+ DR0+ DL4+ UL2+ U4- R3- D3+ L4+ ALL4- y2 U3+ R3- D1+ L5- ALL3-,9,DR3+ DL2+ U2+ dr5+ ul2- y2 DL5+ DR6+ UR3- ALL1-
BurleySummer2025,8.33,d,B,3,UR3+ DR4+ DL1- UL3- U4- R1- D0+ L3- ALL5+ y2 U3- R2+ D1- L1- ALL1-,9,UR3- DR3- UL5- ur1- y2 dl4- R2- U3+ DL1+ ALL6+
BurleySummer2025,8.33,d,B,4,UR4+ DR4+ DL4- UL4- U0+ R3- D4- L4+ ALL5+ y2 U4+ R1+ D4- L4- ALL5+,7,DL4+ R5- dl1- y2 dr5- R3+ DL4+ UR4-
BurleySummer2025,8.33,d,B,5,UR4+ DR3- DL4+ UL4+ U1- R1- D1- L4+ ALL3- y2 U1+ R1+ D4- L1- ALL5-,7,U5+ /5+ ALL5- y2 L3- DL4+ UR1- /4-
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,1,UR0+ DR4- DL4- UL4- U4+ R1+ D5+ L5+ ALL0+ y2 U5+ R2- D1+ L6+ ALL4+,8,DL3+ R3+ /3+ y2 R3+ U5- L6+ DR1- \5-
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,2,UR5+ DR1- DL5- UL0+ U6+ R1- D0+ L1+ ALL3+ y2 U2+ R2- D2+ L5- ALL3-,10,DR3- U1+ D3- L4+ \5+ y2 U2- L3- DL4- DR2+ ALL1+
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,3,UR5- DR2- DL0+ UL2- U5+ R2- D2+ L2+ ALL2- y2 U1+ R4+ D1+ L6+ ALL3-,9,UR2+ R5- dl3- ALL2- y2 R3- L5- DL1- UR1- \1+
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,4,UR5+ DR3+ DL4- UL3+ U3- R3- D3- L2- ALL5- y2 U3- R0+ D1+ L2+ ALL3+,8,UR5- DL4+ L1- ALL1- y2 D1- U3+ L2- \3-
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,5,UR3- DR2- DL5+ UL6+ U4+ R3- D5- L2+ ALL2- y2 U2+ R2+ D0+ L5+ ALL5-,8,UR6- DR2+ UL1- \3+ y2 ul2- dl5+ L5- UR2-
USMPenangCube2025,8.33,c,B,1,UR0+ DR3- DL1+ UL1+ U1- R2- D6+ L1- ALL6+ y2 U5+ R5+ D3+ L4+ ALL2-,8,DL1- R5+ D3- ALL4+ y2 dl6+ L1- DL3- UR5-
USMPenangCube2025,8.33,c,B,2,UR4+ DR6+ DL0+ UL0+ U4- R3+ D3- L1+ ALL1+ y2 U2+ R4- D4- L3+ ALL1-,9,DR1- DL1- D1- \5- y2 ur5- U1+ UL3- DR4+ ALL5-
USMPenangCube2025,8.33,c,B,3,UR4+ DR2+ DL4- UL5- U4+ R0+ D0+ L2- ALL2- y2 U6+ R5+ D3+ L2+ ALL5+,11,UR3- DR3- D5+ L1- \5+ y2 ul3- dr3+ D2- UL1- DL1- UR5-
USMPenangCube2025,8.33,c,B,4,UR3+ DR1- DL4- UL4- U1+ R1- D4+ L0+ ALL1- y2 U0+ R3- D0+ L6+ ALL3+,8,DR3- DL4+ R2+ L4+ /4- y2 dr3- R3+ L6+
USMPenangCube2025,8.33,c,B,5,UR1+ DR2+ DL3- UL1- U0+ R2- D5- L6+ ALL5+ y2 U1+ R2- D4- L4- ALL4+,8,DR1- DL5- L3+ y2 L3+ DL1+ DR3+ UR1- /1-
UIUCSideEventsSpring2025,8.33,c,B,1,UR2+ DR5- DL2+ UL0+ U4- R5+ D2- L1- ALL3+ y2 U3+ R1- D5- L3+ ALL3+,9,DR5+ DL1- U2+ R5+ D1+ y2 dr5- D4+ UL3- DR1+
UIUCSideEventsSpring2025,8.33,c,B,2,UR3- DR3+ DL0+ UL1+ U3- R3- D6+ L1- ALL3- y2 U4- R4+ D1- L3+ ALL3+,8,DR3+ U5+ /5- y2 D1+ R1+ UL3- UR5- \1+
UIUCSideEventsSpring2025,8.33,c,B,3,UR3+ DR3- DL0+ UL0+ U2+ R1+ D1+ L0+ ALL4+ y2 U2+ R3+ D1- L1+ ALL5+,8,UR5- DR4+ D2- ALL5- y2 R3- UL2- DL1+ ALL6+
UIUCSideEventsSpring2025,8.33,c,B,4,UR2- DR6+ DL6+ UL5- U5- R1+ D0+ L5+ ALL5+ y2 U2+ R5+ D6+ L4- ALL1+,8,R5- L6- y2 ul6+ dl5+ R5- UL2- DL6+ ALL4+
UIUCSideEventsSpring2025,8.33,c,B,5,UR2- DR5+ DL5+ UL6+ U3- R3+ D0+ L6+ ALL4+ y2 U5+ R2- D2+ L5+ ALL3+,9,UR1- DR5- DL5- ALL1- y2 dl6+ dr2- D2- R2+ UL5-
SouthernIndianaQualifier2025,8.33,f,E,1,UR5- DR2+ DL3+ UL5- U2+ R5- D5- L4+ ALL4- y2 U3+ R3- D1- L3- ALL4-,8,UR4- L2- dr5- y2 ur2- D2- U6+ UL3+ DR3+
SouthernIndianaQualifier2025,8.33,f,E,2,UR4+ DR4- DL5+ UL3- U0+ R0+ D2- L4+ ALL3- y2 U4- R5- D5- L3- ALL6+,9,UR1- DR1+ L6- /1- ALL6- y2 U1+ UL3+ DR5+ \2+
SouthernIndianaQualifier2025,8.33,f,E,3,UR1+ DR1+ DL5- UL5- U0+ R5+ D3- L2+ ALL1+ y2 U4- R1- D6+ L1+ ALL1+,10,UR1- DR1- DL4- U5+ R5- ur3- y2 U3- L1- DR6+ UR5-
SouthernIndianaQualifier2025,8.33,f,E,4,UR5+ DR0+ DL4- UL0+ U4- R4- D4+ L1+ ALL2- y2 U5+ R3+ D4+ L5- ALL1-,8,UR1- L3+ \2+ y2 D1- U2+ UL5+ DR3- /3+
SouthernIndianaQualifier2025,8.33,f,E,5,UR4- DR6+ DL6+ UL5+ U1- R2- D1- L1+ ALL3+ y2 U3- R5+ D6+ L4- ALL1+,8,D1+ dl4- /2+ y2 ul2- D2- DL4+ DR4+ UR3+
SouthDakotaPlayhouse2025,8.33,f,A,1,UR3- DR3+ DL0+ UL2+ U1- R0+ D5+ L2+ ALL5+ y2 U0+ R6+ D3- L3- ALL6+,8,U2+ D4+ L4- dl3- y2 dl2- R6+ DL3+ ALL1-
SouthDakotaPlayhouse2025,8.33,f,A,2,UR3- DR2+ DL0+ UL2+ U3+ R3+ D6+ L1- ALL2+ y2 U1- R0+ D4+ L4+ ALL0+,8,UR2- D4+ L1- dl5- /2+ y2 D4- U1+ L4-
SouthDakotaPlayhouse2025,8.33,f,A,3,UR2- DR4+ DL6+ UL4- U2+ R5- D2+ L4+ ALL2- y2 U5+ R0+ D2- L0+ ALL2-,8,UL4+ R3+ L2+ dl2- y2 ul6+ ur4- D2+ U5-
SouthDakotaPlayhouse2025,8.33,f,A,4,UR0+ DR3+ DL3+ UL4- U5- R1+ D1- L4+ ALL5- y2 U1+ R4- D4- L1- ALL2+,9,DR4- UL3- D1- y2 ur5- R1+ U1- DL1+ DR3+ \5-
SouthDakotaPlayhouse2025,8.33,f,A,5,UR3+ DR3- DL3- UL1- U3+ R6+ D5+ L5- ALL2- y2 U3- R6+ D4+ L3+ ALL2+,10,DR1+ UL3- U2- R5+ /4- y2 ul3- L4+ UL3+ DL2+ DR6+
